channel,in_weight,unique_inbound_channels
anime_domo,2,2
animeatk_ep,91,1
animetoon_hindi,11,11
blechawarchive,24,8
bookcityl,1,1
breakfreedeals,1,1
c_cartoon_carnival,1,1
case_woorld,4,1
childhood_official,9,3
cinemafreak_net,3,1
dealhustle,1,1
deutschmityaman,1,1
deutschwebfeedback,7,1
deutschwebvip,2,1
disclosetv,1,1
dj_romance_movie,1,1
doraemonmoviesinhindi_1,1,1
dvachannel,1,1
emeraldwelcome,2,1
freehentaibyleroxwire,1,1
girlshotmm,88,4
gunash_seriyal,3,1
haq_deen,1,1
hls_samples,1,1
hndfansub,4,1
hockeybalabama,1,1
honest_alpha,1,1
itsadamdelion,1,1
jenkinsdota69,1,1
koyar_diamonds_store,3,1
lootflashdealsamazonflipkart,2,2
lovemoviefact,3,3
lovemovieturki,3,3
mahdi_seriz,6,1
meme_by_mochi,4,2
motel_california_kdrama_engsub,1,1
myanmarhenshinherouniverse,1,1
sarto_123456,1,1
startuplab_yandex_education,1,1
yatwunnge,1,1
